date,Open,High,Low,Close,Volume
"2018-01-02,二",11079.64,11178.05,11072.87,11178.05,16373777000
"2018-01-03,三",11181.18,11316.46,11171.12,11280.3,19840475000
"2018-01-04,四",11270.91,11341.35,11259.46,11341.35,18037649000
"2018-01-05,五",11339.57,11372.29,11310.29,11342.85,18795013000
"2018-01-08,一",11343.82,11386.04,11287.6,11382.72,20360407000
"2018-01-09,二",11371.93,11449.6,11358.13,11447.09,18408184000
"2018-01-10,三",11439.22,11446.41,11345.1,11437.08,19634271000
"2018-01-11,四",11411.58,11482.81,11372.36,11464.2,18989790000
"2018-01-12,五",11459.46,11496.53,11420.26,11461.99,18602147000
"2018-01-15,一",11453.33,11476.58,11277.31,11307.46,22443373000
"2018-01-16,二",11283.6,11402.46,11283.29,11386.91,19286341000
"2018-01-17,三",11366.6,11367.16,11185.92,11303.97,21351592000
"2018-01-18,四",11287.64,11375.11,11279.42,11319.91,15561012000
"2018-01-19,五",11314.46,11393.04,11276.57,11296.27,18342929000
"2018-01-22,一",11289.86,11513.08,11273.69,11513.08,18107482000
"2018-01-23,二",11514.56,11564.95,11493.74,11555.25,17418877000
"2018-01-24,三",11548.21,11613.96,11456.26,11607.57,21073522000
"2018-01-25,四",11588.38,11633.46,11548.68,11552.56,21376224000
"2018-01-26,五",11524.7,11605.13,11512.94,11557.82,17561174000
"2018-01-29,一",11547.68,11556.65,11323.69,11352.72,19966608000
"2018-01-30,二",11319.97,11370,11260.31,11278.78,15797324000
"2018-01-31,三",11210.06,11244.18,11119.32,11159.68,19479497000
"2018-02-01,四",11145.41,11171.36,10836.35,10864.34,22481868000
"2018-02-02,五",10794.13,10933.15,10663.54,10925.16,18462657000
"2018-02-05,一",10761.08,10873.24,10741.85,10836.25,14870522000
"2018-02-06,二",10603.54,10685.16,10377.61,10377.61,19687741000
"2018-02-07,三",10563.31,10599.54,10173.66,10246.97,18536491000
"2018-02-08,四",10219.39,10411.2,10219.21,10372.59,15442980000
"2018-02-09,五",10096.47,10172.78,9868.83,10001.23,19357135000
"2018-02-12,一",10059.86,10325.68,10059.86,10291.88,14499615000
"2018-02-13,二",10367.68,10486.81,10350.17,10362.43,14216733000
"2018-02-14,三",10381.16,10433.09,10319.15,10431.91,10008243900
"2018-02-22,四",10547.81,10667.8,10526.98,10658.94,13617048000
"2018-02-23,五",10667.81,10700.11,10578.79,10662.79,14053086000
"2018-02-26,一",10731.31,10920.21,10670.17,10895.56,20018349000
"2018-02-27,二",10898.29,10915.36,10791.95,10807.53,19593278000
"2018-02-28,三",10705.81,10875.71,10656.36,10828.73,18663895000
"2018-03-01,四",10754.62,10943.13,10732.93,10943.13,19007030000
"2018-03-02,五",10857.87,10947.39,10840.01,10856.25,18464682000
"2018-03-05,一",10882.87,10913.03,10813.47,10875.68,15954954000
"2018-03-06,二",10909.28,11007.95,10873.85,11007.95,20652550000
"2018-03-07,三",10993.95,11031.48,10897.58,10904.99,17914834000
"2018-03-08,四",10902.35,11019.08,10892.18,11019.08,16520317000
"2018-03-09,五",11040.37,11203.72,11030.55,11194.91,23455547000
"2018-03-12,一",11266.32,11328.77,11260.46,11326.27,26177325000
"2018-03-13,二",11311.04,11335.3,11236.38,11241.41,22784843000
"2018-03-14,三",11198.77,11242.3,11138.39,11139.63,19606774000
